id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
2115,Bed and breakfast in Como · ★4.97 · 2 bedrooms · 3 beds · 1 shared bath,2313,Helen,SOUTH PERTH,-32.00657,115.86515,Private room in bed and breakfast,Private room,5,,3.0,1,148,132,4.97,1.02
59311,Home in Perth · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,284743,Rudy And Lina,GOSNELLS,-32.07628,115.932,Private room in home,Private room,1,,1.0,1,362,7,4.86,0.05
65261,Guest suite in Fremantle · ★4.38 · 1 bedroom · 1 bed · 1 bath,319052,Suzanne Elizabeth,FREMANTLE,-32.04788,115.76418,Entire guest suite,Entire home/apt,2,1.0,1.0,2,151,310,4.38,2.13
875893,Home in Mosman Park · ★4.95 · 2 bedrooms · 4 beds · 2 baths,4625299,John,MOSMAN PARK,-32.02241,115.75997,Entire home,Entire home/apt,4,2.0,4.0,3,68,125,4.95,0.99
893135,Rental unit in South Perth · ★4.75 · 2 bedrooms · 3 beds · 1 bath,4970928,Louise & Jenny,SOUTH PERTH,-31.97587,115.85818,Entire rental unit,Entire home/apt,4,2.0,3.0,2,59,228,4.75,2.0
2109081,Rental unit in Fremantle · ★4.57 · 2 bedrooms · 2 beds · 1 bath,7495989,Phil,FREMANTLE,-32.04993,115.75975,Entire rental unit,Entire home/apt,3,2.0,2.0,3,0,43,4.57,0.37
69534,Bed and breakfast in Perth · ★4.83 · 1 bedroom · 1 bed · 1 private bath,348191,Teresa,JOONDALUP,-31.84295,115.80467,Private room in bed and breakfast,Private room,2,,1.0,3,227,12,4.83,0.17
900855,Condo in City Beach · ★4.85 · 1 bedroom · 1 bed · 1 bath,4811719,Chris & Vivien,CAMBRIDGE,-31.94543,115.75952,Entire condo,Entire home/apt,2,1.0,1.0,3,249,84,4.85,0.66
88185,Home in Perth · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,474393,Anne,VINCENT,-31.942358,115.858208,Private room in home,Private room,2,,1.0,2,84,218,4.95,1.47
913152,Rental unit in Perth · ★4.66 · 2 bedrooms · 5 beds · 1.5 baths,4900907,Brenda,CLAREMONT,-31.97001,115.78906,Entire rental unit,Entire home/apt,4,2.0,5.0,2,230,96,4.66,0.78
913192,Home in Heathridge · ★4.76 · 1 bedroom · 1 bed · 1 private bath,1415497,John,JOONDALUP,-31.76769,115.75543,Private room in home,Private room,1,,1.0,2,322,92,4.76,0.73
2136611,Villa in Claremont · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,2165516,Noelle & Rodney,CLAREMONT,-31.98486,115.7788,Private room in villa,Private room,1,,1.0,3,44,86,4.86,0.75
2136851,Guesthouse in Hamilton Hill · ★4.95 · 1 bedroom · 1 bed · 1 bath,10905269,Ben And Debbie,COCKBURN,-32.08126,115.77621,Entire guesthouse,Entire home/apt,2,1.0,1.0,5,11,148,4.95,1.28
2139934,Home in Preston Beach · ★4.69 · 3 bedrooms · 4 beds · 2 baths,10920299,Greg,WAROONA,-32.87745,115.6552,Entire home,Entire home/apt,6,3.0,4.0,3,313,39,4.69,0.34
2145781,Rental unit in Perth · ★5.0 · 2 bedrooms · 2 beds · 2 baths,10953557,Ann,PERTH,-31.95951,115.87268,Entire rental unit,Entire home/apt,2,2.0,2.0,90,364,5,5.0,0.06
928945,Rental unit in Fremantle · ★4.77 · 3 bedrooms · 7 beds · 1.5 baths,5000938,Garth,FREMANTLE,-32.05365,115.74625,Entire rental unit,Entire home/apt,7,3.0,7.0,3,0,135,4.77,1.11
119422,Home in Hillarys · ★4.93 · 1 bedroom · 1 bed · 1 bath,602975,Mary,JOONDALUP,-31.8155,115.74252,Private room in home,Private room,1,,1.0,2,193,31,4.93,0.21
960551,Villa in Tuart Hill · 1 bedroom · 3 beds · 1 bath,5230044,Doria,STIRLING,-31.89836,115.83409,Private room in villa,Private room,2,,3.0,1,0,1,1.0,0.01
971395,Rental unit in Claremont · ★4.79 · 1 bedroom · 1.5 baths,4900907,Brenda,CLAREMONT,-31.96943,115.78791,Entire rental unit,Entire home/apt,2,1.0,,2,231,123,4.79,1.0
973836,Home in Perth · ★4.59 · 1 bedroom · 1 bed · 2 baths,3754542,Margaret,STIRLING,-31.91616,115.77793,Private room in home,Private room,2,,1.0,3,360,76,4.59,0.65
2151536,Home in Gnarabup · ★4.79 · 3 bedrooms · 4 beds · 2 baths,10981446,Emma,AUGUSTA-MARGARET RIVER,-33.99092,114.99605,Entire home,Entire home/apt,6,3.0,4.0,3,128,152,4.79,1.34
141083,Home in Jindalee · 1 bedroom · 1 bed · Half-bath,686529,Suzy,WANNEROO,-31.65373,115.69259,Private room in home,Private room,2,,1.0,2,0,0,,
141610,Villa in Denmark · ★5.0 · 2 bedrooms · 3 beds · 1 bath,688591,Gadi,DENMARK,-34.9844,117.35222,Entire villa,Entire home/apt,4,2.0,3.0,5,305,10,5.0,0.19
2160932,Rental unit in South Perth · ★4.73 · 1 bedroom · 1 bed · 1 bath,10902481,Elyse,SOUTH PERTH,-31.96714,115.84676,Entire rental unit,Entire home/apt,2,1.0,1.0,5,112,130,4.73,1.15
